#: table_doi: 10.17182/hepdata.78802.v1/t15
#: name: Table 15
#: description: Multiplicity distribution in the pseudorapidity region -3.4 to 5.0 for NSD collisions at a centre-of-mass energy of 8000 GeV.
#: data_file: Table15.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 8000
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: RE,,,P P --> CHARGED X
#: ETARAP(P=5),,,-3.4-5.0
#: SQRT(S) [GeV],,,8000.0
'$N_{ch}$','$N_{ch}$ LOW','$N_{ch}$ HIGH','$P(N_{ch})$','error +','error -'
0.0,-0.5,0.5,0.03213,0.01635,-0.01635
1.0,0.5,1.5,0.01512,0.005208,-0.005208
2.0,1.5,2.5,0.008027,0.003462,-0.003462
3.0,2.5,3.5,0.006772,0.003235,-0.003235
4.0,3.5,4.5,0.006011,0.00234,-0.00234
5.0,4.5,5.5,0.00593,0.0018,-0.0018
6.0,5.5,6.5,0.00645,0.001548,-0.001548
7.0,6.5,7.5,0.00709,0.001306,-0.001306
8.0,7.5,8.5,0.008213,0.001304,-0.001304
9.0,8.5,9.5,0.009358,0.001334,-0.001334
10.0,9.5,10.5,0.01062,0.001438,-0.001438
11.0,10.5,11.5,0.01187,0.00153,-0.00153
12.0,11.5,12.5,0.01303,0.001623,-0.001623
13.0,12.5,13.5,0.0139,0.001716,-0.001716
14.0,13.5,14.5,0.0149,0.001799,-0.001799
15.0,14.5,15.5,0.01524,0.001751,-0.001751
16.0,15.5,16.5,0.0158,0.001684,-0.001684
17.0,16.5,17.5,0.01607,0.001557,-0.001557
18.0,17.5,18.5,0.016,0.001443,-0.001443
19.0,18.5,19.5,0.01625,0.001369,-0.001369
20.0,19.5,20.5,0.01591,0.001257,-0.001257
21.0,20.5,21.5,0.0157,0.001141,-0.001141
22.0,21.5,22.5,0.01527,0.0009606,-0.0009606
23.0,22.5,23.5,0.01482,0.0007868,-0.0007868
24.0,23.5,24.5,0.01441,0.0006414,-0.0006414
25.0,24.5,25.5,0.01393,0.0005551,-0.0005551
26.0,25.5,26.5,0.01341,0.0005131,-0.0005131
27.0,26.5,27.5,0.01303,0.0004865,-0.0004865
28.0,27.5,28.5,0.01271,0.0004217,-0.0004217
29.0,28.5,29.5,0.01224,0.0004104,-0.0004104
30.0,29.5,30.5,0.01184,0.0003101,-0.0003101
31.0,30.5,31.5,0.01155,0.0003451,-0.0003451
32.0,31.5,32.5,0.01128,0.0002744,-0.0002744
33.0,32.5,33.5,0.01115,0.0003049,-0.0003049
34.0,33.5,34.5,0.01077,0.0002689,-0.0002689
35.0,34.5,35.5,0.01057,0.0003278,-0.0003278
36.0,35.5,36.5,0.01039,0.0003676,-0.0003676
37.0,36.5,37.5,0.01033,0.0004033,-0.0004033
38.0,37.5,38.5,0.01019,0.0004041,-0.0004041
39.0,38.5,39.5,0.009963,0.000406,-0.000406
40.0,39.5,40.5,0.009783,0.0003797,-0.0003797
41.0,40.5,41.5,0.00974,0.0003659,-0.0003659
42.0,41.5,42.5,0.009399,0.0003709,-0.0003709
43.0,42.5,43.5,0.009313,0.0003958,-0.0003958
44.0,43.5,44.5,0.009065,0.0004327,-0.0004327
45.0,44.5,45.5,0.008934,0.0004742,-0.0004742
46.0,45.5,46.5,0.008924,0.000499,-0.000499
47.0,46.5,47.5,0.008626,0.00049,-0.00049
48.0,47.5,48.5,0.008396,0.0004766,-0.0004766
49.0,48.5,49.5,0.008248,0.0004727,-0.0004727
50.0,49.5,50.5,0.008044,0.0004946,-0.0004946
51.0,50.5,51.5,0.007869,0.0005173,-0.0005173
52.0,51.5,52.5,0.007711,0.0005408,-0.0005408
53.0,52.5,53.5,0.007552,0.0005527,-0.0005527
54.0,53.5,54.5,0.007358,0.0005696,-0.0005696
55.0,54.5,55.5,0.007191,0.0005754,-0.0005754
56.0,55.5,56.5,0.00708,0.0005912,-0.0005912
57.0,56.5,57.5,0.006996,0.0006021,-0.0006021
58.0,57.5,58.5,0.006869,0.0006115,-0.0006115
59.0,58.5,59.5,0.006738,0.0006186,-0.0006186
60.0,59.5,60.5,0.006644,0.0006238,-0.0006238
61.0,60.5,61.5,0.006513,0.0006306,-0.0006306
62.0,61.5,62.5,0.006458,0.0006462,-0.0006462
63.0,62.5,63.5,0.006256,0.0006446,-0.0006446
