#: table_doi: 10.17182/hepdata.78802.v1/t21
#: name: Table 21
#: description: Multiplicity distribution in the pseudorapidity region -2.0 to 2.0 for INEL collisions at a centre-of-mass energy of 7000 GeV.
#: data_file: Table21.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 7000
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: RE,,,P P --> CHARGED X
#: ETARAP(P=5),,,-2.0-2.0
#: SQRT(S) [GeV],,,7000.0
'$N_{ch}$','$N_{ch}$ LOW','$N_{ch}$ HIGH','$P(N_{ch})$','error +','error -'
0.0,-0.5,0.5,0.2158,0.05916,-0.05916
1.0,0.5,1.5,0.01784,0.00243,-0.00243
2.0,1.5,2.5,0.01824,0.001567,-0.001567
3.0,2.5,3.5,0.02038,0.001689,-0.001689
4.0,3.5,4.5,0.02303,0.001734,-0.001734
5.0,4.5,5.5,0.02509,0.001565,-0.001565
6.0,5.5,6.5,0.02621,0.001186,-0.001186
7.0,6.5,7.5,0.02658,0.001118,-0.001118
8.0,7.5,8.5,0.02653,0.0008464,-0.0008464
9.0,8.5,9.5,0.0258,0.0008234,-0.0008234
10.0,9.5,10.5,0.02486,0.0007532,-0.0007532
11.0,10.5,11.5,0.02374,0.0005428,-0.0005428
12.0,11.5,12.5,0.02226,0.0005277,-0.0005277
13.0,12.5,13.5,0.021,0.0005251,-0.0005251
14.0,13.5,14.5,0.01968,0.0004155,-0.0004155
15.0,14.5,15.5,0.01869,0.0002925,-0.0002925
16.0,15.5,16.5,0.01774,0.0003578,-0.0003578
17.0,16.5,17.5,0.01689,0.0002937,-0.0002937
18.0,17.5,18.5,0.01598,0.0003947,-0.0003947
19.0,18.5,19.5,0.01518,0.0003561,-0.0003561
20.0,19.5,20.5,0.01447,0.000362,-0.000362
21.0,20.5,21.5,0.01402,0.0004163,-0.0004163
22.0,21.5,22.5,0.01338,0.0003896,-0.0003896
23.0,22.5,23.5,0.01269,0.0003764,-0.0003764
24.0,23.5,24.5,0.01219,0.0004155,-0.0004155
25.0,24.5,25.5,0.01175,0.0004639,-0.0004639
26.0,25.5,26.5,0.01119,0.0004879,-0.0004879
27.0,26.5,27.5,0.01082,0.0004276,-0.0004276
28.0,27.5,28.5,0.01042,0.0004377,-0.0004377
29.0,28.5,29.5,0.01002,0.0004123,-0.0004123
30.0,29.5,30.5,0.009717,0.0004346,-0.0004346
31.0,30.5,31.5,0.009363,0.0004323,-0.0004323
32.0,31.5,32.5,0.009098,0.0004494,-0.0004494
33.0,32.5,33.5,0.008766,0.0004302,-0.0004302
34.0,33.5,34.5,0.008438,0.0004462,-0.0004462
35.0,34.5,35.5,0.008275,0.0004446,-0.0004446
36.0,35.5,36.5,0.007969,0.0004395,-0.0004395
37.0,36.5,37.5,0.007729,0.0004396,-0.0004396
38.0,37.5,38.5,0.007389,0.0004563,-0.0004563
39.0,38.5,39.5,0.007203,0.0004232,-0.0004232
40.0,39.5,40.5,0.006946,0.0004431,-0.0004431
41.0,40.5,41.5,0.006613,0.0004262,-0.0004262
42.0,41.5,42.5,0.006435,0.0003985,-0.0003985
43.0,42.5,43.5,0.006233,0.0004169,-0.0004169
44.0,43.5,44.5,0.006026,0.0004102,-0.0004102
45.0,44.5,45.5,0.005789,0.0004297,-0.0004297
46.0,45.5,46.5,0.00557,0.0004228,-0.0004228
47.0,46.5,47.5,0.005415,0.0004123,-0.0004123
48.0,47.5,48.5,0.005195,0.0004139,-0.0004139
49.0,48.5,49.5,0.004984,0.0004049,-0.0004049
50.0,49.5,50.5,0.004834,0.0004002,-0.0004002
51.0,50.5,51.5,0.004654,0.000383,-0.000383
52.0,51.5,52.5,0.004479,0.0003892,-0.0003892
53.0,52.5,53.5,0.004329,0.0003899,-0.0003899
54.0,53.5,54.5,0.004159,0.0003788,-0.0003788
55.0,54.5,55.5,0.003977,0.0003772,-0.0003772
56.0,55.5,56.5,0.003866,0.0003699,-0.0003699
57.0,56.5,57.5,0.00371,0.0003553,-0.0003553
58.0,57.5,58.5,0.003561,0.0003618,-0.0003618
59.0,58.5,59.5,0.003435,0.0003623,-0.0003623
60.0,59.5,60.5,0.003319,0.0003629,-0.0003629
61.0,60.5,61.5,0.00315,0.0003219,-0.0003219
62.0,61.5,62.5,0.003034,0.0003446,-0.0003446
63.0,62.5,63.5,0.002927,0.0003305,-0.0003305
64.0,63.5,64.5,0.002799,0.0003146,-0.0003146
65.0,64.5,65.5,0.00267,0.0003163,-0.0003163
66.0,65.5,66.5,0.002577,0.0003046,-0.0003046
67.0,66.5,67.5,0.002476,0.0002943,-0.0002943
68.0,67.5,68.5,0.0024,0.0002915,-0.0002915
69.0,68.5,69.5,0.002263,0.0002847,-0.0002847
70.0,69.5,70.5,0.002191,0.0002676,-0.0002676
71.0,70.5,71.5,0.002081,0.0002649,-0.0002649
72.0,71.5,72.5,0.002019,0.0002663,-0.0002663
73.0,72.5,73.5,0.001919,0.000249,-0.000249
74.0,73.5,74.5,0.00182,0.0002377,-0.0002377
75.0,74.5,75.5,0.001746,0.0002278,-0.0002278
76.0,75.5,76.5,0.001682,0.0002407,-0.0002407
77.0,76.5,77.5,0.001612,0.0002214,-0.0002214
78.0,77.5,78.5,0.001533,0.0002204,-0.0002204
79.0,78.5,79.5,0.001466,0.0002131,-0.0002131
80.0,79.5,80.5,0.001399,0.0001994,-0.0001994
81.0,80.5,81.5,0.001332,0.0001968,-0.0001968
82.0,81.5,82.5,0.001277,0.0001911,-0.0001911
83.0,82.5,83.5,0.001221,0.0001932,-0.0001932
84.0,83.5,84.5,0.001156,0.0001825,-0.0001825
85.0,84.5,85.5,0.001111,0.0001839,-0.0001839
86.0,85.5,86.5,0.001064,0.0001732,-0.0001732
87.0,86.5,87.5,0.00101,0.0001719,-0.0001719
88.0,87.5,88.5,0.0009642,0.0001674,-0.0001674
