#: table_doi: 10.17182/hepdata.78802.v1/t36
#: name: Table 36
#: description: Multiplicity distribution in the pseudorapidity region -2.0 to 2.0 for INEL>0 collisions at a centre-of-mass energy of 7000 GeV.
#: data_file: Table36.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 7000
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: RE,,,P P --> CHARGED X
#: ETARAP(P=5),,,-2.0-2.0
#: SQRT(S) [GeV],,,7000.0
'$N_{ch}$','$N_{ch}$ LOW','$N_{ch}$ HIGH','$P(N_{ch})$','error +','error -'
1.0,0.5,1.5,0.01389,0.001891,-0.001891
2.0,1.5,2.5,0.01661,0.001427,-0.001427
3.0,2.5,3.5,0.02043,0.001693,-0.001693
4.0,3.5,4.5,0.0247,0.00186,-0.00186
5.0,4.5,5.5,0.02821,0.00176,-0.00176
6.0,5.5,6.5,0.03067,0.001388,-0.001388
7.0,6.5,7.5,0.03204,0.001347,-0.001347
8.0,7.5,8.5,0.03289,0.001049,-0.001049
9.0,8.5,9.5,0.0326,0.00104,-0.00104
10.0,9.5,10.5,0.03186,0.0009655,-0.0009655
11.0,10.5,11.5,0.0308,0.0007042,-0.0007042
12.0,11.5,12.5,0.02917,0.0006913,-0.0006913
13.0,12.5,13.5,0.02767,0.0006919,-0.0006919
14.0,13.5,14.5,0.02605,0.0005501,-0.0005501
15.0,14.5,15.5,0.02486,0.000389,-0.000389
16.0,15.5,16.5,0.02365,0.0004771,-0.0004771
17.0,16.5,17.5,0.02258,0.0003925,-0.0003925
18.0,17.5,18.5,0.0214,0.0005284,-0.0005284
19.0,18.5,19.5,0.02035,0.0004773,-0.0004773
20.0,19.5,20.5,0.01941,0.0004856,-0.0004856
21.0,20.5,21.5,0.01882,0.000559,-0.000559
22.0,21.5,22.5,0.01797,0.0005233,-0.0005233
23.0,22.5,23.5,0.01705,0.0005059,-0.0005059
24.0,23.5,24.5,0.01639,0.0005586,-0.0005586
25.0,24.5,25.5,0.0158,0.0006239,-0.0006239
26.0,25.5,26.5,0.01506,0.0006564,-0.0006564
27.0,26.5,27.5,0.01457,0.0005754,-0.0005754
28.0,27.5,28.5,0.01402,0.0005892,-0.0005892
29.0,28.5,29.5,0.01349,0.0005551,-0.0005551
30.0,29.5,30.5,0.01308,0.000585,-0.000585
31.0,30.5,31.5,0.01261,0.0005822,-0.0005822
32.0,31.5,32.5,0.01225,0.0006052,-0.0006052
33.0,32.5,33.5,0.01181,0.0005794,-0.0005794
34.0,33.5,34.5,0.01137,0.0006009,-0.0006009
35.0,34.5,35.5,0.01114,0.0005988,-0.0005988
36.0,35.5,36.5,0.01073,0.000592,-0.000592
37.0,36.5,37.5,0.01041,0.0005922,-0.0005922
38.0,37.5,38.5,0.009953,0.0006147,-0.0006147
39.0,38.5,39.5,0.009703,0.0005701,-0.0005701
40.0,39.5,40.5,0.009357,0.000597,-0.000597
41.0,40.5,41.5,0.008908,0.0005742,-0.0005742
42.0,41.5,42.5,0.008669,0.0005369,-0.0005369
43.0,42.5,43.5,0.008397,0.0005616,-0.0005616
44.0,43.5,44.5,0.008119,0.0005526,-0.0005526
45.0,44.5,45.5,0.0078,0.000579,-0.000579
46.0,45.5,46.5,0.007505,0.0005696,-0.0005696
47.0,46.5,47.5,0.007296,0.0005555,-0.0005555
48.0,47.5,48.5,0.006999,0.0005576,-0.0005576
49.0,48.5,49.5,0.006715,0.0005455,-0.0005455
50.0,49.5,50.5,0.006514,0.0005392,-0.0005392
51.0,50.5,51.5,0.006271,0.000516,-0.000516
