#: table_doi: 10.17182/hepdata.78802.v1/t52
#: name: Table 52
#: description: Set of fit parameters for the multiplicity distribution in pseudorapidity range -2.4 to 2.4 in NSD collisions at center-of-mass energy 7000 GeV.
#: data_file: Table52.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 7000
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: NUM,1.0
#: ETARAP,-2.4-2.4
#: CLASS,NSD
#: SQRT(S) [GEV],7000
'PARNAME','SET'
'alpha',0.97
'n1',0.36
'k1',13.19
'n2',3.13
'k2',45.86
'lambda',2.61

#: NUM,2.0
#: ETARAP,-2.4-2.4
#: CLASS,NSD
#: SQRT(S) [GEV],7000
'PARNAME','SET'
'alpha',0.95
'n1',0.35
'k1',12.73
'n2',3.17
'k2',43.05
'lambda',2.47

#: NUM,3.0
#: ETARAP,-2.4-2.4
#: CLASS,NSD
#: SQRT(S) [GEV],7000
'PARNAME','SET'
'alpha',0.92
'n1',0.34
'k1',12.25
'n2',3.25
'k2',40.12
'lambda',2.36

